# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.1208,0.953956,0.637889,1,3,0,30.9643,-0.710844,-3.79294,-0.619591
-30.1044,0.99601,0.637889,1,3,0,30.1719,-0.624747,1.0734,0.242959
-30.6374,0.947318,0.637889,3,7,0,30.9294,-0.327404,2.23154,3.378
-30.6251,1,0.637889,1,1,0,30.6978,-0.331062,1.11362,3.33824
-30.61,0.982682,0.637889,2,3,0,30.9794,-0.335622,2.50975,3.28873
-30.5848,1,0.637889,1,1,0,30.6591,-0.343391,1.12589,3.20444
-30.95,0.981303,0.637889,3,7,0,31.1173,-1.06924,1.68922,-3.92696
-30.7875,0.987332,0.637889,2,3,0,31.2858,-1.0258,-2.91508,-3.5526
-30.8957,0.996299,0.637889,2,3,0,30.9352,-1.0552,-0.82126,-3.80678
-32.3777,0.907479,0.637889,2,3,0,32.6016,-1.3507,1.95419,-6.16281
-30.7339,0.963243,0.637889,3,7,0,33.5729,-0.30005,-6.95812,3.67599
-30.5112,0.999254,0.637889,2,5,0,30.7654,-0.938597,-2.08205,-2.77809
-30.2737,0.997075,0.637889,3,7,0,30.6195,-0.465539,-2.42868,1.89511
-30.1086,1,0.637889,2,3,0,30.2541,-0.611259,1.57549,0.380164
-30.103,0.99828,0.637889,1,3,0,30.13,-0.666253,0.679038,-0.175797
-30.2025,0.991825,0.637889,3,7,0,30.2353,-0.791448,-0.748534,-1.40489
-30.34,0.925342,0.637889,1,3,0,31.3127,-0.433403,4.07277,2.23647
-30.3802,0.866588,0.637889,1,3,0,32.0453,-0.887076,-5.3287,-2.30653
-30.3753,0.957841,0.637889,2,3,0,31.0066,-0.884943,-3.28122,-2.28679
-30.1288,0.954097,0.637889,1,3,0,31.0205,-0.57537,-3.89961,0.747879
-30.1061,0.994518,0.637889,3,7,0,30.223,-0.679061,-1.41225,-0.303933
-30.2534,0.963552,0.637889,2,5,0,30.5219,-0.476546,-2.13975,1.77875
-30.3404,0.898034,0.637889,1,3,0,31.5627,-0.869164,4.56561,-2.14022
-31.2617,0.931785,0.637889,2,3,0,31.3175,-1.14281,-0.975464,-4.54341
-30.7786,0.996159,0.637889,3,7,0,31.3423,-0.288093,-3.10058,3.80662
-30.5188,0.971821,0.637889,2,5,0,31.2862,-0.941317,-3.61745,-2.80269
-30.5188,0.979845,0.637889,1,1,0,30.6926,-0.941317,-1.72135,-2.80269
-30.6477,0.986295,0.637889,1,1,0,30.6592,-0.984341,0.441717,-3.18812
-30.2892,0.873674,0.637889,1,3,0,32.6988,-0.457538,6.41044,1.97988
-30.3106,0.997285,0.637889,1,1,0,30.3269,-0.446991,0.526203,2.09184
-30.2196,1,0.637889,1,1,0,30.2992,-0.496759,1.16466,1.56584
-30.7425,0.957012,0.637889,2,3,0,30.7986,-0.297722,-0.978112,3.7014
-30.5952,1,0.637889,1,1,0,30.7454,-0.340146,-1.60035,3.23963
-30.4805,1,0.637889,1,1,0,30.5968,-0.377951,-1.40824,2.83086
-30.5957,0.985256,0.637889,1,1,0,30.612,-0.340002,-0.526485,3.2412
-30.6623,0.977837,0.637889,2,3,0,31.0045,-0.320123,-2.41579,3.4572
-30.1015,0.992892,0.637889,3,7,0,30.8372,-0.646979,3.54219,0.017991
-30.6744,0.948551,0.637889,3,7,0,30.922,-0.316645,-2.05483,3.49506
-30.6058,1,0.637889,1,1,0,30.7072,-0.336906,-1.31531,3.27479
-30.4573,1,0.637889,2,3,0,30.5953,-0.386263,1.53411,2.74136
-30.3128,1,0.637889,1,1,0,30.4393,-0.44597,-1.46876,2.1027
-30.1463,1,0.637889,3,7,0,30.3128,-0.554916,-1.68517,0.959095
-30.1457,1,0.637889,1,1,0,30.1514,-0.555453,0.3113,0.953537
-30.3227,0.989834,0.637889,3,7,0,30.3427,-0.441315,0.584036,2.15221
-30.1683,0.946081,0.637889,1,3,0,31.0862,-0.76465,-3.9565,-1.14629
-30.3316,0.972349,0.637889,3,7,0,30.6701,-0.437196,-2.40254,2.19605
-30.2703,0.951295,0.637889,2,3,0,30.9495,-0.467296,3.40325,1.87652
-30.3844,0.98565,0.637889,1,1,0,30.3847,-0.414431,-0.0712766,2.4391
-30.5732,0.976079,0.637889,1,1,0,30.5739,-0.347038,-0.108574,3.16491
-30.1026,0.996224,0.637889,3,7,0,30.6933,-0.633987,-3.17413,0.149271
-30.1069,0.998197,0.637889,1,3,0,30.1235,-0.681624,-0.531676,-0.329502
-30.5681,0.96163,0.637889,2,5,0,30.5709,-0.958437,-0.217027,-2.95693
-30.3566,0.97933,0.637889,2,5,0,30.8849,-0.426132,-3.00171,2.31404
-30.366,0.9988,0.637889,1,1,0,30.3946,-0.422096,-0.697848,2.35714
-30.2475,0.913625,0.637889,1,3,0,31.5931,-0.82062,4.79023,-1.68349
-30.6042,0.853147,0.637889,1,3,0,32.3246,-0.3374,-5.41656,3.26943
-32.5956,0.846065,0.637889,2,3,0,32.8734,0.0363545,-2.1766,7.40567
-31.663,1,0.637889,2,3,0,32.485,-0.104513,-3.74395,5.83468
-31.0661,1,0.637889,1,1,0,31.5904,-0.219368,2.99015,4.56149
-30.6728,0.993932,0.637889,3,7,0,31.3548,-0.992134,-3.41017,-3.25715
-30.709,0.996208,0.637889,1,1,0,30.759,-1.00306,0.923574,-3.35349
-30.7059,1,0.637889,1,1,0,30.7742,-1.00215,1.07912,-3.34553
-30.8687,0.983201,0.637889,1,1,0,30.8885,-1.04805,0.581003,-3.74531
-31.3203,0.976421,0.637889,2,5,0,31.4231,-0.166977,-1.32432,5.14079
-32.1766,0.892617,0.637889,1,1,0,32.1796,-0.0228617,-0.224813,6.74487
-32.8668,0.775892,0.637889,2,5,0,35.681,-1.42666,-6.92771,-6.70903
-30.1844,0.891644,0.637889,1,3,0,35.0173,-0.777914,9.07853,-1.2746
-30.1763,1,0.637889,1,1,0,30.1894,-0.771408,-0.473439,-1.21174
-30.1487,0.999814,0.637889,3,7,0,30.188,-0.552377,-0.818145,0.985393
-30.1504,0.999797,0.637889,1,1,0,30.1556,-0.550725,0.297657,1.00252
-31.8802,0.753532,0.637889,2,3,0,33.2919,-0.0685347,-4.90666,6.23545
-31.4052,1,0.637889,1,1,0,31.8636,-0.150738,2.7959,5.3209
-30.1709,0.930113,0.637889,2,3,0,32.4621,-0.532074,6.25088,1.19633
-30.1218,0.991991,0.637889,3,7,0,30.3172,-0.712456,-1.82562,-0.635508
-30.1142,1,0.637889,1,1,0,30.1209,-0.699106,-0.339005,-0.503394
-30.1024,0.998184,0.637889,1,3,0,30.1414,-0.634788,-0.814726,0.141161
-30.8064,0.853708,0.637889,1,3,0,31.8162,-1.03109,4.14971,-3.59856
-30.8533,0.998387,0.637889,2,3,0,30.9133,-1.04394,1.01149,-3.70982
-30.96,0.99638,0.637889,2,3,0,31.0061,-1.07178,-0.887173,-3.94866
-31.0045,0.980498,0.637889,2,3,0,31.4649,-1.08293,2.80209,-4.04338
-30.2182,1,0.637889,2,3,0,30.9347,-0.802215,3.49564,-1.50807
-30.1185,0.977015,0.637889,1,3,0,30.5265,-0.590809,2.63799,0.589239
-30.1032,0.986619,0.637889,3,7,0,30.3216,-0.6302,1.93004,0.187634
-30.3362,0.960474,0.637889,1,3,0,30.548,-0.435104,1.90037,2.21834
-30.2274,0.996666,0.637889,2,3,0,30.3999,-0.491894,1.71514,1.61699
-30.2051,1,0.637889,3,7,0,30.2273,-0.793283,0.614842,-1.4225
-30.1601,0.995788,0.637889,2,5,0,30.2769,-0.541433,1.41108,1.09896
-30.1042,0.997824,0.637889,2,3,0,30.1959,-0.625633,1.25062,0.233963
-30.1078,0.997596,0.637889,1,3,0,30.1342,-0.684292,0.670536,-0.35611
-30.111,0.998125,0.637889,2,3,0,30.1311,-0.692373,0.585562,-0.436545
-30.1025,1,0.637889,2,3,0,30.1102,-0.663,-0.363448,-0.143174
-30.1066,0.998848,0.637889,3,7,0,30.1207,-0.616732,0.490008,0.324424
-30.1212,0.999304,0.637889,3,7,0,30.1212,-0.711578,-0.0055078,-0.62684
-30.4209,0.921362,0.637889,1,3,0,31.0743,-0.399941,3.33827,2.59438
-30.6453,0.987166,0.637889,2,5,0,30.6879,-0.983567,-0.852802,-3.18125
-31.4173,0.944607,0.637889,2,3,0,31.6166,-1.17605,1.8438,-4.81463
-31.6321,0.993229,0.637889,2,3,0,31.6992,-1.21913,-1.06968,-5.15912
-30.5406,1,0.637889,3,7,0,31.6398,-0.948987,-4.32959,-2.87194
-30.4897,1,0.637889,1,1,0,30.5616,-0.930746,-1.10718,-2.70689
-30.5377,0.994833,0.637889,1,1,0,30.565,-0.94797,-0.682828,-2.86277
-30.1346,0.989136,0.637889,2,3,0,30.7525,-0.730162,-3.24633,-0.809823
-30.1222,1,0.637889,2,3,0,30.1332,-0.713142,-0.432362,-0.642289
-30.2165,0.962889,0.637889,3,7,0,30.7174,-0.498751,-2.92256,1.5449
-30.2271,0.99868,0.637889,1,1,0,30.2377,-0.492085,-0.425977,1.61498
-30.2142,1,0.637889,2,3,0,30.2351,-0.50027,-0.597065,1.52895
-30.1713,0.998829,0.637889,3,7,0,30.2521,-0.531699,1.17371,1.20024
-30.1079,0.987443,0.637889,1,3,0,30.3265,-0.684723,1.93056,-0.360399
-30.4232,0.947584,0.637889,1,3,0,30.696,-0.905072,-2.15691,-2.4724
-30.5468,0.986654,0.637889,1,1,0,30.5523,-0.951141,-0.306366,-2.89134
-30.1476,0.990223,0.637889,3,7,0,30.7988,-0.744892,3.33258,-0.954031
-30.1671,0.99773,0.637889,1,1,0,30.1678,-0.763602,-0.11226,-1.13613
-30.1478,1,0.637889,1,1,0,30.1657,-0.745173,0.55151,-0.956771
-30.1557,0.999088,0.637889,1,1,0,30.1586,-0.753054,0.224315,-1.03362
-30.1029,1,0.637889,3,7,0,30.1494,-0.66592,-0.890135,-0.172464
-30.1022,0.999487,0.637889,1,3,0,30.1095,-0.636558,-0.353183,0.123253
-30.1804,0.994475,0.637889,3,7,0,30.1899,-0.774755,0.4037,-1.2441
-30.1064,0.99759,0.637889,2,3,0,30.2235,-0.680035,-1.41329,-0.313652
-30.46,0.941169,0.637889,2,5,0,30.7897,-0.919564,-2.37097,-2.60507
-30.9286,0.893504,0.637889,2,3,0,31.9045,-1.06377,4.07955,-3.88028
-30.3564,0.955528,0.637889,2,3,0,31.6762,-0.87654,-4.74422,-2.20885
-30.3374,1,0.637889,2,3,0,30.3745,-0.867766,-0.795729,-2.12719
-30.1028,0.976462,0.637889,1,3,0,30.6636,-0.632499,3.09246,0.164342
-30.9014,0.862028,0.637889,2,5,0,31.7017,-0.257215,-3.6945,4.14498
-30.7518,1,0.637889,1,1,0,30.9207,-0.295218,-1.69726,3.72875
-30.1023,0.957996,0.637889,1,3,0,31.3405,-0.635882,-4.59523,0.130092
-30.2291,0.977598,0.637889,2,5,0,30.3474,-0.490805,1.4199,1.62845
-30.3558,0.896846,0.637889,1,3,0,31.5164,-0.876264,4.44885,-2.20629
-31.074,0.947934,0.637889,2,3,0,31.1496,-1.09981,1.13593,-4.18583
-30.6394,0.961684,0.637889,3,7,0,32.2958,-0.981731,5.31471,-3.16495
-30.1978,1,0.637889,3,7,0,30.5896,-0.511429,-2.58498,1.41195
