# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.4733,0.985707,0.743073,1,1,0,30.4797,-0.924605,-0.359854,-2.65103
-30.6108,0.994334,0.743073,2,3,0,30.6233,-0.972571,0.499897,-3.0834
-30.5102,1,0.743073,1,1,0,30.6217,-0.938222,1.49329,-2.77469
-30.7464,0.97127,0.743073,1,1,0,30.7498,-1.01406,0.26094,-3.45005
-30.1298,1,0.743073,2,3,0,30.6724,-0.724096,-3.29457,-0.750218
-30.1942,0.976787,0.743073,2,3,0,30.374,-0.785404,-1.89648,-1.34678
-30.1526,0.98424,0.743073,3,7,0,30.4249,-0.548481,2.33375,1.02579
-30.1673,0.999477,0.743073,3,7,0,30.1705,-0.535138,0.253009,1.16443
-30.1052,0.991317,0.743073,1,3,0,30.2663,-0.676075,-1.79539,-0.274103
-30.1233,0.994628,0.743073,2,3,0,30.1593,-0.714828,0.849216,-0.65892
-30.675,0.897158,0.743073,3,7,0,31.4815,-0.316461,-4.01683,3.49705
-30.8616,0.972259,0.743073,1,1,0,30.8964,-0.266924,-0.833575,4.03844
-31.4378,0.910408,0.743073,2,3,0,32.1237,-0.144651,3.70434,5.38847
-31.4365,1,0.743073,1,1,0,31.6373,-0.144891,-2.00426,5.3858
-31.2571,1,0.743073,1,1,0,31.527,-0.179425,-2.32364,5.0029
-31.2248,0.8815,0.743073,3,7,0,33.1763,-1.13462,-6.24834,-4.47593
-31.3401,0.987014,0.743073,1,1,0,31.4382,-1.15981,1.40072,-4.68268
-30.5536,0.994033,0.743073,2,3,0,31.4828,-0.95349,4.31143,-2.91249
-30.4829,1,0.743073,1,1,0,30.5723,-0.928236,1.3372,-2.68407
-30.4126,0.982063,0.743073,2,5,0,30.7691,-0.403154,-2.67051,2.5599
-30.1667,0.938124,0.743073,1,3,0,31.1463,-0.763279,-4.4269,-1.133
-30.1167,0.985641,0.743073,1,3,0,30.3314,-0.593938,-2.0726,0.557173
-30.107,0.996526,0.743073,2,3,0,30.155,-0.615567,0.979174,0.336288
-30.2728,0.95791,0.743073,1,3,0,30.5323,-0.835046,2.27829,-1.82012
-30.2005,0.944365,0.743073,1,3,0,30.9414,-0.509521,-3.85006,1.43193
-30.1033,1,0.743073,2,3,0,30.1878,-0.629666,1.30045,0.193054
-31.0675,0.915285,0.743073,2,3,0,31.0689,-0.219067,-0.165878,4.56481
-30.2159,0.997041,0.743073,3,7,0,31.1583,-0.800709,-4.342,-1.49366
-30.1707,1,0.743073,1,1,0,30.2104,-0.766728,-0.890806,-1.16644
-30.1051,0.991577,0.743073,1,3,0,30.2761,-0.621808,-1.8495,0.272805
-30.1552,0.985559,0.743073,1,3,0,30.2501,-0.752585,1.37814,-1.02905
-30.1179,0.986636,0.743073,1,3,0,30.3077,-0.59186,1.9487,0.578467
-30.2638,0.95244,0.743073,1,3,0,30.5882,-0.830023,-2.54746,-1.77263
-30.287,0.996975,0.743073,1,1,0,30.3012,-0.842709,0.532315,-1.8924
-30.2168,1,0.743073,1,1,0,30.2789,-0.801274,-1.11475,-1.49907
-30.2102,0.968073,0.743073,2,3,0,30.6041,-0.796865,2.8071,-1.45685
-30.9352,0.805113,0.743073,1,3,0,32.6168,-0.24915,5.80019,4.23358
-30.447,0.984791,0.743073,2,3,0,31.1681,-0.390049,3.79809,2.70064
-30.1044,0.97251,0.743073,1,3,0,30.7956,-0.673,-3.71856,-0.243361
-30.351,0.981402,0.743073,3,7,0,30.3513,-0.874058,0.0812943,-2.18578
-30.4962,0.981696,0.743073,1,1,0,30.4986,-0.933142,-0.218428,-2.72864
-30.5997,0.987217,0.743073,1,1,0,30.6209,-0.968928,0.651776,-3.05088
-30.4453,1,0.743073,2,3,0,30.588,-0.913858,-1.68984,-2.55293
-30.3269,1,0.743073,1,1,0,30.4336,-0.862793,-1.4605,-2.08077
-30.2803,1,0.743073,2,3,0,30.3312,-0.8391,1.0094,-1.85838
-32.8065,0.787653,0.743073,3,7,0,33.8255,0.0642504,4.51515,7.71679
-32.3402,1,0.743073,1,1,0,32.9376,0.000925661,3.45704,7.01033
-30.2154,0.734591,0.743073,2,5,0,35.4493,-0.800351,-10.2328,-1.49024
-30.2529,0.995079,0.743073,1,1,0,30.258,-0.823756,0.321475,-1.71325
-30.5239,0.878548,0.743073,1,3,0,31.8191,-0.363046,5.09036,2.9917
-30.776,0.990457,0.743073,3,7,0,30.7845,-0.28878,0.411778,3.7991
-30.2477,0.997401,0.743073,2,3,0,30.8255,-0.479802,-3.39977,1.74438
-30.1233,0.972835,0.743073,1,3,0,30.5494,-0.714882,-2.91953,-0.65946
-30.1152,1,0.743073,1,1,0,30.1224,-0.701081,0.380094,-0.522976
-30.1863,0.97577,0.743073,1,3,0,30.376,-0.519815,-1.94812,1.32423
-30.7458,0.810688,0.743073,1,3,0,32.1872,-1.0139,-5.36984,-3.44865
-30.7373,1,0.743073,1,1,0,30.8226,-1.01141,-1.30668,-3.42687
-30.5141,1,0.743073,1,1,0,30.7144,-0.939609,2.00216,-2.78724
-30.4841,1,0.743073,1,1,0,30.5498,-0.928678,1.14587,-2.6881
-30.1036,0.973003,0.743073,1,3,0,30.89,-0.628328,-3.96643,0.206621
-30.1497,0.98917,0.743073,2,3,0,30.2108,-0.551431,-1.10619,0.995196
-30.2035,0.992072,0.743073,3,7,0,30.2679,-0.507449,1.13516,1.45365
-30.8774,0.775501,0.743073,1,3,0,32.6231,-1.05037,5.90965,-3.76529
-30.6067,0.986795,0.743073,2,3,0,31.1629,-0.971225,-3.33568,-3.07139
-30.1022,0.991637,0.743073,3,7,0,30.7521,-0.63638,-3.60572,0.125056
-30.3213,0.953972,0.743073,1,3,0,30.5738,-0.860055,-2.24745,-2.05518
-30.2926,1,0.743073,2,3,0,30.3338,-0.845619,-0.907598,-1.91978
-30.3049,0.998404,0.743073,1,1,0,30.326,-0.851939,0.650256,-1.97915
-30.4385,0.982999,0.743073,1,1,0,30.4395,-0.911175,0.141966,-2.52838
-30.1081,1,0.743073,2,3,0,30.3951,-0.685157,2.39613,-0.364726
-30.9562,0.93793,0.743073,3,7,0,30.9656,-0.244208,-0.434186,4.28791
-31.1109,0.97676,0.743073,1,1,0,31.1914,-0.209672,1.26959,4.66848
-30.102,1,0.743073,3,7,0,30.967,-0.638717,4.16003,0.101419
-30.3074,0.957458,0.743073,1,3,0,30.5379,-0.85318,2.14736,-1.9908
-30.1037,1,0.743073,2,3,0,30.2799,-0.669985,1.87734,-0.213186
-31.4385,0.877241,0.743073,2,5,0,31.4405,-0.144527,0.201808,5.38984
-31.9466,0.95228,0.743073,3,7,0,32.5124,-1.2775,-3.36447,-5.61346
-30.2836,1,0.743073,2,3,0,31.7879,-0.840867,-5.48586,-1.87504
-30.4839,0.978103,0.743073,2,3,0,30.6027,-0.92858,1.54153,-2.6872
-30.6016,0.985442,0.743073,1,1,0,30.6187,-0.969574,-0.583806,-3.05666
-30.7729,0.994127,0.743073,3,7,0,30.7912,-1.02168,0.60518,-3.51662
-30.1062,0.971742,0.743073,1,3,0,31.2201,-0.679504,-4.72075,-0.30835
-30.1043,1,0.743073,1,1,0,30.106,-0.672528,-0.182569,-0.238641
-33.003,0.794513,0.743073,3,7,0,33.2271,0.0892588,2.11758,7.99548
-31.5762,1,0.743073,1,1,0,32.7847,-0.119616,4.91716,5.66665
-31.3641,1,0.743073,1,1,0,31.6687,-0.158527,2.4686,5.23448
-30.6561,1,0.743073,3,7,0,31.3694,-0.986955,-3.77759,-3.2113
-30.5777,0.985705,0.743073,2,3,0,30.968,-0.961669,2.79406,-2.98592
-30.1023,0.989272,0.743073,3,7,0,30.7735,-0.66161,3.66445,-0.129225
-30.2245,0.982859,0.743073,3,7,0,30.3136,-0.806356,-1.33521,-1.54764
-30.1552,0.964841,0.743073,1,3,0,30.6398,-0.54603,-3.11383,1.05122
-30.116,0.988923,0.743073,2,3,0,30.277,-0.595272,1.79509,0.543501
-30.1547,0.983754,0.743073,2,3,0,30.2812,-0.546508,1.59074,1.04625
-30.5639,0.961897,0.743073,2,3,0,30.6079,-0.349973,-0.937747,3.13311
-30.3916,1,0.743073,1,1,0,30.544,-0.411502,-1.74614,2.47045
-30.8733,0.728059,0.743073,1,3,0,33.4574,-1.04928,7.19004,-3.75589
-31.2576,0.985363,0.743073,2,3,0,31.2672,-1.1419,0.438424,-4.53597
-30.6209,0.945668,0.743073,3,7,0,32.4389,-0.332321,6.03073,3.32457
-30.9161,0.985506,0.743073,2,3,0,30.9284,-0.253671,-0.495719,4.1839
-30.8622,1,0.743073,2,3,0,31.0029,-0.26679,1.67758,4.03991
-30.8151,0.962242,0.743073,3,7,0,31.6098,-1.0335,-3.98726,-3.61949
-31.0379,0.973975,0.743073,1,1,0,31.0662,-1.09111,0.752476,-4.11255
-30.1123,0.964665,0.743073,1,3,0,31.6253,-0.695245,5.50173,-0.46508
-30.1076,1,0.743073,3,7,0,30.1117,-0.683707,0.285467,-0.350275
-31.3141,0.788226,0.743073,1,3,0,32.377,-1.15424,-4.6112,-4.63717
-32.0495,0.922313,0.743073,1,1,0,32.0522,-1.29561,0.233731,-5.75152
-30.5676,0.99886,0.743073,3,7,0,31.8749,-0.348813,5.11415,3.14568
-30.1068,0.962612,0.743073,2,3,0,31.0421,-0.61633,4.32573,0.328522
-30.2785,0.986774,0.743073,3,7,0,30.282,-0.462992,0.265534,1.92208
-30.1069,0.982193,0.743073,1,3,0,30.5052,-0.681814,-2.82257,-0.331398
-31.3752,0.776601,0.743073,1,3,0,32.5138,-1.16726,4.77258,-4.74335
-31.0756,1,0.743073,2,3,0,31.3779,-1.1002,-2.45919,-4.18911
-30.9829,1,0.743073,2,3,0,31.1431,-1.07756,1.7901,-3.99781
-31.3191,0.961929,0.743073,1,1,0,31.3422,-1.1553,0.679553,-4.64589
-30.1015,0.938947,0.743073,1,3,0,32.4409,-0.646456,-6.84124,0.0232622
-30.4221,0.969401,0.743073,2,5,0,30.4239,-0.90461,-0.188508,-2.46815
-30.431,0.867549,0.743073,1,3,0,32.1512,-0.396072,5.86638,2.63591
-30.4786,0.992962,0.743073,1,1,0,30.5117,-0.378641,0.81436,2.82342
-30.1275,0.949093,0.743073,1,3,0,31.0692,-0.720908,-4.34037,-0.718846
-31.5373,0.872923,0.743073,2,3,0,31.5378,-1.2005,-0.0921525,-5.01106
-30.6621,0.992279,0.743073,2,3,0,31.7233,-0.988806,4.60764,-3.2277
-30.1875,0.957629,0.743073,2,3,0,31.2548,-0.780317,-4.62091,-1.29779
-30.1321,0.977476,0.743073,1,3,0,30.4501,-0.571089,2.52229,0.791991
-30.1015,0.997652,0.743073,2,5,0,30.1592,-0.651705,-1.07421,-0.0296318
-30.7727,0.87256,0.743073,2,5,0,31.4471,-1.02162,3.67322,-3.51609
-30.1242,0.998799,0.743073,3,7,0,30.7319,-0.71618,-3.4868,-0.672264
-30.2738,0.986391,0.743073,2,3,0,30.2867,-0.835595,-0.508165,-1.82531
-30.7248,0.830963,0.743073,1,3,0,32.418,-0.30253,5.8202,3.64892
-30.6393,1,0.743073,1,1,0,30.7648,-0.326832,1.58451,3.38422
-31.0417,0.941109,0.743073,1,1,0,31.0462,-0.224757,-0.298592,4.50206
-30.7724,1,0.743073,1,1,0,31.0327,-0.289741,-2.28239,3.7886
-31.1955,0.978354,0.743073,3,7,0,31.2808,-0.191923,1.30689,4.8646
-30.8514,1,0.743073,1,1,0,31.1724,-0.269467,-2.53393,4.01056
-30.106,1,0.743073,2,5,0,30.7511,-0.678926,3.59246,-0.302581
-30.514,0.91604,0.743073,1,3,0,30.9972,-0.366386,-3.10916,2.95562
-30.6149,0.985028,0.743073,1,1,0,30.6464,-0.334128,0.793663,3.30495
-30.1332,0.939066,0.743073,1,3,0,31.3896,-0.728446,5.01353,-0.792971
-30.1504,0.997681,0.743073,1,1,0,30.1509,-0.747793,0.104532,-0.98234
-30.1368,0.982665,0.743073,3,7,0,30.3939,-0.732916,2.26761,-0.836837
-30.8863,0.931996,0.743073,2,3,0,30.8953,-1.05274,0.422945,-3.78568
-30.1268,0.981967,0.743073,3,7,0,31.2462,-0.578079,-4.73233,0.719995
-30.1592,0.980192,0.743073,2,3,0,30.3324,-0.542328,1.86164,1.08967
-30.1596,0.996153,0.743073,2,5,0,30.2139,-0.756829,1.04187,-1.07035
-30.1694,0.992619,0.743073,3,7,0,30.2763,-0.533316,-1.46239,1.18339
-30.1599,0.994101,0.743073,3,7,0,30.2634,-0.75706,-1.43939,-1.07259
-30.1188,0.999193,0.743073,3,7,0,30.1761,-0.707676,1.07019,-0.588277
-30.1259,0.989721,0.743073,1,3,0,30.2332,-0.579316,1.46515,0.707266
-30.1525,0.998798,0.743073,3,7,0,30.1533,-0.749996,0.119805,-1.00383
-30.4569,0.929017,0.743073,2,3,0,30.8985,-0.918381,2.97233,-2.59428
-30.2438,0.910158,0.743073,1,3,0,31.6132,-0.482075,5.23418,1.72041
-30.3156,0.906358,0.743073,1,3,0,31.2385,-0.857277,-4.2969,-2.02919
-30.2373,1,0.743073,1,1,0,30.3069,-0.814417,-1.18053,-1.62451
-30.4903,0.887227,0.743073,1,3,0,31.6692,-0.374505,4.85634,2.86801
-30.512,0.996772,0.743073,1,1,0,30.5615,-0.367039,-0.994991,2.94857
-31.0589,0.942421,0.743073,3,7,0,31.4242,-0.220953,-2.70329,4.544
-31.4026,0.982965,0.743073,2,3,0,31.4563,-0.151225,1.03624,5.3155
-31.3884,1,0.743073,1,1,0,31.5883,-0.153917,-2.00004,5.28563
-31.4559,1,0.743073,3,7,0,31.4864,-1.18403,0.781027,-4.87899
-31.098,1,0.743073,1,1,0,31.4437,-1.1055,2.63004,-4.23363
-30.2309,1,0.743073,3,7,0,31.0574,-0.489725,-4.06621,1.63981
-30.1248,0.976756,0.743073,2,3,0,30.4884,-0.580953,-2.69724,0.690431
-30.2841,0.945391,0.743073,1,3,0,30.6773,-0.841129,2.80481,-1.87751
-30.2126,0.939374,0.743073,1,3,0,31.0163,-0.501355,4.01007,1.51757
-30.1432,0.968574,0.743073,1,3,0,30.5571,-0.740177,2.87759,-0.90795
-30.1845,0.971823,0.743073,3,7,0,30.5236,-0.778041,-2.60448,-1.27583
-31.0765,0.933879,0.743073,3,7,0,31.2008,-1.1004,1.57718,-4.19079
-31.3447,0.969758,0.743073,1,1,0,31.3879,-1.16079,0.929824,-4.69065
-31.3787,0.967149,0.743073,2,3,0,32.1585,-1.16799,-3.94979,-4.74925
-31.1167,1,0.743073,1,1,0,31.3971,-1.10991,-2.36847,-4.27055
-30.7219,1,0.743073,1,1,0,31.0717,-1.00689,2.64533,-3.38717
-30.443,0.991198,0.743073,2,3,0,30.9028,-0.912974,3.0328,-2.54485
-30.1152,0.963098,0.743073,1,3,0,30.9396,-0.59669,4.06115,0.52899
-30.5103,0.969646,0.743073,3,7,0,30.5207,-0.367631,-0.455273,2.94218
-30.117,1,0.743073,2,3,0,30.4658,-0.593417,-2.64184,0.562511
-30.1203,0.999844,0.743073,2,3,0,30.1215,-0.587818,0.154953,0.619922
-30.2219,0.962583,0.743073,1,3,0,30.4981,-0.804691,-2.35036,-1.53174
-30.2597,0.995058,0.743073,1,1,0,30.2655,-0.827669,-0.340996,-1.75035
-30.1081,0.990679,0.743073,2,3,0,30.3898,-0.685188,2.37385,-0.365042
-30.9532,0.852349,0.743073,1,3,0,31.6447,-1.07006,3.71937,-3.93398
-30.4077,0.99922,0.743073,3,7,0,30.8796,-0.405046,-3.07228,2.53962
-30.1149,0.963937,0.743073,1,3,0,30.8309,-0.70047,-3.78482,-0.516921
-30.163,0.981886,0.743073,3,7,0,30.344,-0.75993,1.903,-1.10049
-30.1657,0.999634,0.743073,1,1,0,30.1731,-0.762386,0.384669,-1.12433
-30.2186,0.994575,0.743073,3,7,0,30.2643,-0.802466,-0.956341,-1.51047
-30.5479,0.909171,0.743073,2,3,0,31.2214,-0.951529,3.67062,-2.89484
-30.2687,0.893419,0.743073,1,3,0,31.9578,-0.468171,5.81302,1.86726
-30.5464,0.837899,0.743073,1,3,0,32.018,-0.950998,5.42587,-2.89006
-30.6841,0.975681,0.743073,2,3,0,30.9797,-0.995578,-2.43169,-3.28758
-30.8085,0.985069,0.743073,1,1,0,30.8449,-1.03167,0.852998,-3.60363
-30.8085,0.956536,0.743073,1,1,0,31.1479,-1.03167,-2.60589,-3.60363
-30.1362,0.92284,0.743073,1,3,0,31.908,-0.566117,-5.9538,0.843288
-30.3527,0.979676,0.743073,2,3,0,30.3803,-0.427803,-0.742822,2.2962
-30.5595,0.969842,0.743073,1,1,0,30.5604,-0.351374,-0.129583,3.11795
-30.4039,1,0.743073,1,1,0,30.5451,-0.406556,-1.68038,2.52343
-30.158,1,0.743073,3,7,0,30.4004,-0.755326,-2.20185,-1.05572
-30.3602,0.927272,0.743073,1,3,0,31.0032,-0.424573,-3.58652,2.33068
-30.4028,0.995107,0.743073,3,7,0,30.4823,-0.896665,-1.26125,-2.39507
-30.532,0.983829,0.743073,1,1,0,30.5398,-0.945991,0.39299,-2.84492
-30.7097,0.978335,0.743073,1,1,0,30.721,-1.00328,0.47548,-3.35545
-30.7994,0.975348,0.743073,2,3,0,31.2025,-1.02913,2.83994,-3.58157
-30.1016,0.959196,0.743073,1,3,0,31.3885,-0.653528,-5.07408,-0.0479901
-30.1063,0.998838,0.743073,1,3,0,30.113,-0.617714,-0.365292,0.314432
-30.1139,0.995291,0.743073,1,3,0,30.1547,-0.698549,0.903184,-0.497868
-30.4689,0.926601,0.743073,3,7,0,31.0534,-0.92294,-3.41975,-2.63586
-30.1084,0.964112,0.743073,1,3,0,30.9283,-0.61172,-4.05001,0.375472
-30.298,0.951282,0.743073,1,3,0,30.6014,-0.848434,-2.46345,-1.94625
-30.3719,0.990523,0.743073,1,1,0,30.3789,-0.883441,-0.373217,-2.27288
-30.244,0.999699,0.743073,3,7,0,30.3606,-0.818497,1.52707,-1.66332
-30.2412,0.991011,0.743073,2,5,0,30.3745,-0.483557,-1.63276,1.70479
-30.1019,0.988381,0.743073,2,5,0,30.3699,-0.658196,-2.31565,-0.0949372
-30.1015,0.864369,0.743073,3,7,0,31.7592,-0.646771,-5.75877,0.020093
-30.1018,0.999903,0.743073,1,3,0,30.1024,-0.657332,-0.110127,-0.086247
-30.11,0.997899,0.743073,1,3,0,30.1233,-0.607581,0.514544,0.417682
-30.3857,0.930925,0.743073,1,3,0,30.8146,-0.889435,2.92914,-2.32835
-30.2911,1,0.743073,2,3,0,30.377,-0.844833,-1.31094,-1.91239
-30.199,0.943004,0.743073,1,3,0,30.9873,-0.510611,-3.97139,1.42052
-30.1337,0.974026,0.743073,1,3,0,30.4833,-0.729129,-2.6445,-0.799684
-30.3376,0.985597,0.743073,3,7,0,30.3554,-0.867835,-0.597785,-2.12783
-30.3067,1,0.743073,2,3,0,30.3509,-0.852818,-0.940537,-1.9874
-30.1842,0.998359,0.743073,3,7,0,30.3457,-0.777786,1.79753,-1.27336
-30.1842,0.721135,0.743073,1,3,0,33.1342,-0.777786,-7.68222,-1.27336
-30.2363,0.950545,0.743073,1,3,0,30.7806,-0.486445,-3.29982,1.67435
-30.1026,0.989424,0.743073,3,7,0,30.3936,-0.664081,-2.41266,-0.154017
-30.1293,0.99328,0.743073,1,3,0,30.1718,-0.574741,0.922384,0.754362
-30.1034,0.99605,0.743073,1,3,0,30.174,-0.668469,1.18816,-0.198005
-31.6947,0.855028,0.743073,2,5,0,31.6962,-0.0991122,-0.173229,5.8948
-31.7363,1,0.743073,3,7,0,31.7448,-1.23902,-0.413402,-5.31557
-31.7476,0.998785,0.743073,1,1,0,31.9381,-1.24114,-1.95258,-5.33212
