# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-26.8197,0.937502,0.586043,3,7,0,30.3249,-0.756287,-0.391369,-0.614752,-17.0975,0.366137,0.0416987
-27.2781,0.916984,0.586043,1,3,0,27.8995,-0.770694,-0.261594,-0.0312201,7.22445,-0.513237,7.08928
-27.2378,0.982665,0.586043,3,7,0,27.936,-0.540135,-0.445224,-3.05141,-2.3911,2.48938,-3.97981
-28.0869,0.950223,0.586043,2,3,0,28.3401,-0.248252,-0.373919,-0.874445,4.11406,4.7436,-1.31432
-28.3899,0.967217,0.586043,1,1,0,28.4354,-0.190459,-0.382196,-0.819306,-0.0391689,5.2823,-1.89091
-27.7954,0.987524,0.586043,3,7,0,29.6941,-1.11454,-0.282642,2.13286,11.5605,-3.34804,7.97565
-27.8441,0.999436,0.586043,3,7,0,28.3441,-0.956672,-0.226535,2.67799,1.1089,-2.34793,9.94003
-28.3176,0.932191,0.586043,3,7,0,30.8623,-0.557559,-0.595436,-4.54609,-9.81203,3.17077,-10.8473
-27.8806,1,0.586043,1,1,0,28.2889,-0.61009,-0.56728,1.43528,-4.75269,2.63834,-9.33239
-27.8508,0.990524,0.586043,2,7,0,28.9889,-1.25138,-0.607183,-3.89245,3.07595,-1.51709,-5.65943
-26.9682,0.995192,0.586043,2,3,0,27.9614,-0.881335,-0.484102,1.73091,8.14903,0.0258789,-3.62449
-26.8538,0.984593,0.586043,1,3,0,27.177,-0.914818,-0.410991,0.186302,-5.19226,-0.804628,0.163846
-26.8312,0.99111,0.586043,1,3,0,26.9713,-0.796564,-0.425772,-1.41345,0.640312,0.263523,-1.43045
-27.1119,0.952738,0.586043,3,7,0,27.4693,-0.920182,-0.314509,1.58885,-3.95876,-1.5263,5.09818
-27.1604,0.998083,0.586043,3,7,0,27.3029,-0.612474,-0.465127,-1.28728,-1.59752,2.01067,-4.56995
-27.3889,0.930224,0.586043,2,3,0,28.2929,-0.423545,-0.363852,-2.77324,5.67564,3.12812,-0.216087
-30.5676,0.74135,0.586043,2,3,0,30.7908,-0.0945186,-0.598952,1.5774,2.14426,6.35673,-12.5219
-28.2725,0.936529,0.586043,2,7,0,32.3935,-1.29091,-0.31044,-6.72546,9.43467,-4.53162,7.86332
-27.1538,1,0.586043,3,7,0,28.2728,-1.10619,-0.411002,3.1487,-6.1347,-2.32038,1.69118
-26.9048,1,0.586043,2,3,0,27.1412,-0.923881,-0.45821,-1.80651,1.14138,-0.509776,-2.05905
-26.8571,0.999538,0.586043,2,3,0,26.9335,-0.919298,-0.41421,0.82102,1.60934,-0.81642,0.0390806
-26.8835,0.988844,0.586043,3,7,0,27.0232,-0.917293,-0.381037,1.34519,-1.20057,-1.04646,1.67461
-27.1751,0.941066,0.586043,2,3,0,27.5971,-1.11247,-0.407388,1.82832,-4.05552,-2.3993,1.91488
-27.3292,0.996751,0.586043,3,7,0,27.6575,-0.949889,-0.556881,-2.08645,-1.68141,0.115845,-6.37167
-27.641,0.957765,0.586043,2,5,0,28.6555,-0.372125,-0.41091,-1.85757,-8.1002,3.75719,-2.94742
-27.3426,1,0.586043,3,7,0,27.667,-1.1101,-0.353124,-2.17959,-0.491016,-2.81473,4.49561
-26.9642,1,0.586043,2,5,0,27.3661,-0.615986,-0.400652,2.20691,-2.46226,1.61251,-1.28473
-28.6846,0.836312,0.586043,2,7,0,29.7025,-0.19594,-0.462555,-3.71576,2.64752,5.38936,-6.10688
-28.4981,0.998965,0.586043,3,7,0,29.4745,-1.1502,-0.22285,-1.74661,-8.04246,-3.99018,11.1386
-26.8704,0.959344,0.586043,2,3,0,29.2312,-0.879289,-0.36896,-3.65444,11.0636,-0.817065,2.01693
-29.7897,0.784439,0.586043,2,3,0,29.8407,-1.0991,-0.11389,-0.814896,-0.717545,-4.01777,16.401
-30.3813,0.99033,0.586043,3,7,0,30.6551,-1.22234,-0.111856,0.0812246,4.79206,-5.02455,16.8513
-27.423,1,0.586043,2,3,0,30.537,-0.473262,-0.283763,-4.67104,11.7284,2.36577,4.52041
-26.8379,0.955961,0.586043,1,3,0,28.1466,-0.727827,-0.375396,3.35763,6.77059,0.507357,0.69176
-27.5426,0.891903,0.586043,1,3,0,28.2788,-0.38343,-0.385636,-3.296,0.278346,3.56751,-1.5548
-32.2129,0.7268,0.586043,2,3,0,32.3316,0.312967,-0.313858,-1.03901,1.95729,10.0084,2.25835
-32.098,1,0.586043,1,1,0,32.7511,0.296734,-0.296808,-3.10432,0.279426,9.89585,3.21692
-29.1954,1,0.586043,2,3,0,33.01,-0.146787,-0.496144,7.32338,3.93928,5.84396,-7.84434
-27.2406,0.922954,0.586043,3,7,0,31.4633,-1.14227,-0.411997,-3.32468,17.0852,-2.59037,1.94873
-27.2768,0.995325,0.586043,3,7,0,27.4658,-0.867989,-0.274551,1.61067,1.05969,-1.31482,6.89718
-27.253,0.844438,0.586043,1,3,0,29.3967,-0.509636,-0.427741,3.73915,-10.0296,2.65556,-3.24337
-27.9576,0.820651,0.586043,2,3,0,29.52,-0.594567,-0.570981,-3.94014,6.55649,2.77136,-9.58639
-27.4677,1,0.586043,3,7,0,27.9024,-0.674066,-0.535845,1.5805,-4.72424,1.97378,-7.5279
-27.3615,0.992442,0.586043,3,7,0,27.746,-0.854183,-0.260389,1.49341,-4.42908,-1.27012,7.58681
-27.3997,0.958586,0.586043,3,7,0,29.1628,-1.1943,-0.522576,5.02929,2.0748,-1.96596,-2.60681
-27.247,0.989552,0.586043,2,7,0,27.5927,-1.15123,-0.421498,-1.83649,-3.1416,-2.57749,1.58116
-27.2415,0.999426,0.586043,3,7,0,27.5977,-0.895801,-0.540723,1.98337,2.7495,0.37308,-6.10844
-27.2354,1,0.586043,3,7,0,27.4299,-1.15141,-0.430237,-0.510507,-3.85463,-2.50287,1.17597
-27.9485,0.98463,0.586043,2,3,0,28.0613,-1.19867,-0.632218,-1.27761,0.447466,-0.904466,-7.23359
-27.147,0.991764,0.586043,2,5,0,28.274,-0.653186,-0.284417,-2.31701,-8.0097,0.676189,5.2362
-27.5395,0.969242,0.586043,2,7,0,28.0101,-1.24032,-0.539155,0.693385,6.0662,-2.13193,-2.87841
-28.0294,0.970987,0.586043,2,3,0,28.3082,-1.20202,-0.642718,1.10032,4.06705,-0.820576,-7.62864
-27.8364,0.97143,0.586043,2,7,0,28.6934,-1.31599,-0.403309,-1.27254,-7.9238,-3.97003,3.8542
-27.7946,1,0.586043,1,1,0,27.9192,-1.30502,-0.402979,1.27887,-1.08181,-3.89241,3.77261
-28.0557,0.98744,0.586043,2,3,0,28.5624,-1.42854,-0.523404,1.65073,-5.20343,-3.61288,-0.280422
-27.2,0.967998,0.586043,2,3,0,28.5196,-1.1393,-0.470394,-4.41495,-0.178147,-2.05312,-0.782985
-27.2915,0.972091,0.586043,2,7,0,28.1003,-0.491602,-0.424423,3.13654,3.46452,2.79177,-3.15854
-27.2187,1,0.586043,2,3,0,27.313,-0.523561,-0.428299,1.14751,-0.660945,2.54129,-3.20359
-28.0562,0.934658,0.586043,2,3,0,28.7248,-0.380742,-0.22219,3.13586,-0.504885,3.08795,7.93601
-27.7911,0.998825,0.586043,3,7,0,28.6857,-0.344841,-0.424017,-2.28136,-6.74989,4.03726,-3.73061
-26.8808,0.9738,0.586043,2,3,0,28.3137,-0.785776,-0.448216,4.23093,-4.31199,0.508495,-2.61578
-26.8808,0.756192,0.586043,2,3,0,29.9582,-0.785776,-0.448216,-6.45415,4.65592,0.508495,-2.61578
-27.9895,0.933138,0.586043,2,5,0,28.3713,-1.12961,-0.642962,-2.14389,-2.43894,-0.336042,-8.35848
-27.6984,0.880435,0.586043,3,7,0,30.21,-0.822109,-0.217077,5.8289,-4.22016,-1.19355,9.81347
