# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.2307,0.991398,0.7009,1,1,0,30.2309,-0.810309,-0.0581859,-1.58536
-30.1266,0.999689,0.7009,3,7,0,30.2333,-0.578339,-1.31609,0.717317
-30.2449,0.987303,0.7009,2,3,0,30.2725,-0.481435,0.670312,1.72716
-30.3885,0.976376,0.7009,2,3,0,30.5362,-0.412768,-1.5485,2.45689
-30.6784,0.952098,0.7009,2,3,0,30.9836,-0.315506,2.22577,3.50746
-30.6662,0.994398,0.7009,3,7,0,30.8237,-0.990075,-1.59907,-3.23894
-32.1059,0.894407,0.7009,3,7,0,32.4378,-1.30536,-2.32095,-5.82523
-32.9506,0.968649,0.7009,3,7,0,32.9855,-1.43908,-0.752533,-6.79596
-30.4198,0.907759,0.7009,3,7,0,34.9784,-0.903697,8.60187,-2.45977
-30.256,0.994036,0.7009,2,3,0,30.5216,-0.825567,-2.07637,-1.73043
-30.1054,0.985471,0.7009,1,3,0,30.4236,-0.620702,2.27257,0.284045
-30.1169,0.994789,0.7009,1,3,0,30.1539,-0.704363,0.774026,-0.555488
-30.119,0.998995,0.7009,2,3,0,30.1327,-0.707894,-0.472606,-0.590432
-30.121,0.990571,0.7009,2,3,0,30.2161,-0.711238,-1.24243,-0.623483
-30.1068,0.817039,0.7009,3,7,0,32.1864,-0.681451,-5.80984,-0.327777
-30.1183,0.994239,0.7009,1,3,0,30.1618,-0.591106,0.840662,0.586194
-30.1044,0.996855,0.7009,1,3,0,30.1503,-0.672991,-0.862886,-0.243272
-32.8323,0.777847,0.7009,2,3,0,32.8398,0.0675905,-0.347765,7.75403
-32.3088,1,0.7009,1,1,0,32.9648,-0.00357335,-3.26317,6.96012
-32.1292,1,0.7009,1,1,0,32.559,-0.0299321,2.6413,6.66598
-32.2007,0.996,0.7009,2,3,0,32.5138,-0.0193015,2.25457,6.7846
-30.2949,1,0.7009,2,3,0,32.1789,-0.454652,5.52988,2.01049
-30.3308,0.897228,0.7009,1,3,0,31.3223,-0.864621,-4.01181,-2.09785
-30.2982,0.994823,0.7009,3,7,0,30.4313,-0.453016,1.46965,2.02785
-30.1181,0.954029,0.7009,2,3,0,30.7679,-0.591513,3.24776,0.582016
-30.2072,0.868478,0.7009,3,7,0,31.496,-0.794782,4.5736,-1.43688
-31.9371,0.775177,0.7009,3,7,0,33.252,-0.0594741,4.61973,6.33646
-32.1243,0.968894,0.7009,1,1,0,32.3707,-0.0306603,1.99961,6.65786
-32.1112,1,0.7009,1,1,0,32.451,-0.0326347,2.34839,6.63583
-31.463,1,0.7009,1,1,0,32.0742,-0.139996,3.14963,5.44016
-30.9801,1,0.7009,1,1,0,31.4182,-0.238682,-2.66668,4.3487
-30.9422,1,0.7009,1,1,0,31.0983,-0.247497,1.59209,4.25175
-30.9085,1,0.7009,1,1,0,31.0569,-0.2555,-1.55188,4.16381
-30.4974,0.974286,0.7009,2,3,0,31.2705,-0.372033,3.54219,2.89466
-30.382,1,0.7009,1,1,0,30.4949,-0.415392,1.35322,2.42882
-30.1258,1,0.7009,2,3,0,30.3725,-0.579487,2.0012,0.705515
-30.1207,0.999987,0.7009,3,7,0,30.1266,-0.587096,-0.30796,0.627324
-30.2527,0.954088,0.7009,1,3,0,30.5345,-0.82364,2.13889,-1.71216
-30.5626,0.870417,0.7009,1,3,0,31.7462,-0.350413,-4.38313,3.12836
-30.1634,0.866851,0.7009,2,3,0,31.9756,-0.53854,-5.42364,1.12904
-30.1912,0.995625,0.7009,1,1,0,30.1941,-0.51622,-0.218809,1.36181
-30.1037,0.993366,0.7009,3,7,0,30.2749,-0.627783,1.66703,0.212143
-30.69,0.926465,0.7009,3,7,0,30.9272,-0.997365,1.96227,-3.30335
-30.6968,0.990518,0.7009,3,7,0,30.9061,-0.3103,-1.8433,3.56417
-30.1015,0.934446,0.7009,3,7,0,31.4712,-0.647032,4.71507,0.017455
-30.7299,0.861903,0.7009,3,7,0,31.6411,-0.301144,-3.84592,3.66404
-30.7299,0.898285,0.7009,1,1,0,31.2695,-0.301144,-2.95961,3.66404
-30.2738,1,0.7009,3,7,0,30.6885,-0.835567,-2.59446,-1.82504
-30.1773,0.953869,0.7009,1,3,0,30.7834,-0.526811,3.13657,1.25119
-30.2316,0.997147,0.7009,2,3,0,30.2328,-0.489316,0.142028,1.64412
-30.2123,1,0.7009,1,1,0,30.2402,-0.501521,0.672544,1.51582
-30.1017,1,0.7009,2,3,0,30.1962,-0.641272,-1.23824,0.0755919
-30.2829,0.975499,0.7009,3,7,0,30.3668,-0.84049,1.16731,-1.87149
-30.223,1,0.7009,1,1,0,30.2781,-0.805405,0.945436,-1.53856
-30.1362,0.973217,0.7009,1,3,0,30.5139,-0.566022,-2.47592,0.844262
-30.2593,0.953635,0.7009,3,7,0,30.6214,-0.4733,2.42429,1.81303
-30.2776,0.996423,0.7009,3,7,0,30.3292,-0.837681,-0.91494,-1.845
-31.7091,0.872164,0.7009,2,3,0,31.8073,-1.23388,1.26263,-5.2753
-30.9898,1,0.7009,1,1,0,31.6192,-1.07927,-3.19635,-4.01234
-30.7677,1,0.7009,1,1,0,30.9929,-1.02018,1.91198,-3.50361
-30.2024,1,0.7009,3,7,0,30.7318,-0.508214,-2.9314,1.44563
-30.2302,0.995593,0.7009,1,1,0,30.2384,-0.490167,-0.364079,1.63516
-30.1034,1,0.7009,3,7,0,30.2108,-0.629163,-1.32005,0.198147
-30.1099,0.999343,0.7009,3,7,0,30.1118,-0.607986,0.17723,0.413552
-30.4346,0.89892,0.7009,2,3,0,31.1005,-0.394682,3.28757,2.65085
-30.1514,0.946477,0.7009,1,3,0,31.0191,-0.748838,-3.75291,-0.992534
