# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.24,0.998816,0.472902,3,7,0,27.3428,-0.939774,-0.297467,1.0995,1.01014,-1.80093,6.10917
-27.411,0.996012,0.472902,3,7,0,27.8956,-0.433842,-0.405233,-1.92978,-4.12198,3.20138,-2.40968
-27.7172,0.973108,0.472902,3,7,0,28.4929,-0.383507,-0.442632,-3.03268,2.68864,3.77745,-4.55255
-27.5729,1,0.472902,1,1,0,27.724,-0.418249,-0.43842,-1.31157,1.36039,3.4704,-4.20051
-27.485,1,0.472902,1,1,0,27.5933,-0.433218,-0.428968,-0.993102,1.68786,3.30533,-3.65268
-27.4266,0.967249,0.472902,3,7,0,29.0317,-0.859099,-0.252878,-4.37007,-3.81399,-1.35342,8.02089
-27.31,0.982526,0.472902,3,7,0,28.1884,-0.981867,-0.299585,-1.33077,7.84305,-2.144,6.26544
-27.8859,0.969679,0.472902,2,3,0,28.0007,-1.01795,-0.23843,0.154854,3.05345,-2.81175,9.63692
-28.079,0.998215,0.472902,3,7,0,28.2392,-0.955925,-0.204069,-1.4559,-0.363184,-2.44991,11.1342
-27.9089,1,0.472902,3,7,0,28.6724,-0.970645,-0.631379,-1.16259,7.39036,0.619142,-9.35852
-28.0655,0.991725,0.472902,3,7,0,28.5546,-0.782814,-0.624124,-2.22375,-3.13459,1.82203,-10.5817
-27.6039,0.995634,0.472902,3,7,0,28.5112,-1.15,-0.326845,-0.0423198,-8.64906,-3.32648,6.06342
-28.6287,0.977789,0.472902,3,7,0,29.1176,-1.49028,-0.404946,-0.0284967,6.34897,-5.19545,5.33466
-27.7476,0.986537,0.472902,3,7,0,29.3888,-1.08085,-0.614664,-3.69109,7.16155,-0.279276,-7.6617
-27.12,0.946611,0.472902,2,5,0,29.4834,-1.10349,-0.455757,0.132624,13.9566,-1.91452,-0.430094
-27.8708,0.983234,0.472902,3,7,0,28.0884,-1.27564,-0.603667,1.70503,-0.0483479,-1.71893,-5.26146
-27.5661,0.999483,0.472902,2,3,0,27.9603,-1.17614,-0.574005,1.72125,3.77294,-1.33261,-5.0191
-31.5777,0.838863,0.472902,2,3,0,31.7393,-1.252,-0.924554,1.38597,-1.21666,1.64661,-17.2426
-31.946,0.986502,0.472902,1,1,0,32.0419,-1.27325,-0.947663,-0.713848,2.18281,1.74899,-17.7528
-30.856,0.914872,0.472902,2,3,0,34.2208,-1.1021,-0.866519,1.17145,-16.4016,1.90223,-16.7481
-29.5924,0.994559,0.472902,3,7,0,31.4798,-1.53029,-0.307645,2.67984,10.5516,-6.26029,9.72435
-30.7546,0.97212,0.472902,2,3,0,30.7607,-1.66281,-0.283015,-0.147857,-0.600872,-7.29541,11.6233
-29.391,0.994478,0.472902,2,7,0,32.8747,-1.73919,-0.612143,2.25627,-15.9961,-4.69817,-0.466228
-29.9948,0.995844,0.472902,2,3,0,30.2774,-1.84018,-0.703904,1.46902,-3.16037,-4.25014,-2.80663
-29.4641,0.988782,0.472902,3,7,0,31.2006,-1.64235,-0.736172,4.72289,2.36345,-2.62234,-6.42525
-28.7619,1,0.472902,3,7,0,29.4624,-1.50896,-0.676373,-2.15006,-5.4076,-2.47099,-5.65552
-28.8122,0.997907,0.472902,3,7,0,28.967,-1.57645,-0.645654,-0.182645,3.54437,-3.26145,-3.6627
-33.087,0.866501,0.472902,2,3,0,33.4485,-2.39296,-0.770088,0.905175,-4.9751,-6.72825,1.54471
-31.0528,0.962482,0.472902,2,7,0,34.2979,-2.01754,-0.57834,6.06749,6.36256,-6.78882,3.92948
-31.6648,0.993219,0.472902,3,7,0,31.712,-2.08883,-0.556093,-0.750739,-0.645948,-7.43653,5.47163
-30.9235,1,0.472902,3,7,0,31.8132,-1.96504,-0.527249,3.40965,1.28346,-7.02092,5.20775
-29.8443,0.947425,0.472902,3,7,0,34.129,-0.0691118,-0.516488,-7.26576,-5.25802,6.47029,-8.89751
-29.5052,0.981511,0.472902,2,3,0,30.7032,-0.165264,-0.542851,-3.70087,3.78167,5.7788,-9.99253
-29.8008,0.968156,0.472902,2,3,0,30.6664,-0.120506,-0.545777,2.7357,-5.0203,6.11324,-10.1911
-27.8786,0.964467,0.472902,2,3,0,30.9403,-0.337681,-0.438189,-5.28687,8.94631,4.14558,-4.48856
-30.8029,0.839083,0.472902,2,3,0,30.8346,0.0387495,-0.539367,-0.650676,0.00958952,7.28773,-9.96951
-27.7036,0.996393,0.472902,2,7,0,30.8947,-1.13981,-0.306307,5.96163,-6.62423,-3.39207,6.9852
