# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-30.1261,0.969445,0.672989,2,7,0,30.9791,-1.71119,-0.380992,-0.642259,-8.42097,-6.86137,8.22832
-29.3449,0.922845,0.672989,3,7,0,32.8045,-1.1621,-0.160169,-7.32427,-0.0229448,-4.37881,14.2886
-28.5971,0.98268,0.672989,2,7,0,30.7467,-0.235113,-0.224363,-3.97929,9.84081,4.57376,7.50558
-28.249,1,0.672989,2,3,0,28.7669,-0.3891,-0.197195,2.76458,1.46652,2.9438,9.50594
-27.8573,1,0.672989,1,1,0,28.2612,-0.495279,-0.211807,1.86653,3.9215,1.91176,8.88546
-27.1444,0.942013,0.672989,2,3,0,28.8604,-0.522621,-0.395928,3.88573,7.98124,2.39087,-1.52086
-27.1083,0.961924,0.672989,2,7,0,27.7733,-1.03613,-0.503035,-2.8383,3.53364,-0.988223,-3.20243
-27.1215,0.995495,0.672989,2,7,0,27.3708,-0.674588,-0.28691,-1.92487,-0.943557,0.491,5.19862
-27.7436,0.845889,0.672989,2,3,0,29.3557,-0.387342,-0.2665,-2.43213,-10.2765,3.14102,5.26191
-27.3991,1,0.672989,2,3,0,27.7251,-0.443698,-0.31077,-1.57262,-3.78102,2.74408,2.84821
-26.994,1,0.672989,2,3,0,27.4167,-0.663996,-0.318064,-2.28075,-2.73595,0.744152,3.41187
-26.9108,0.972311,0.672989,3,7,0,27.3336,-0.956471,-0.448819,-2.27896,2.74613,-0.840046,-1.34852
-27.3044,0.892992,0.672989,1,3,0,27.8625,-0.649827,-0.505294,2.8728,-1.49019,1.9611,-6.27222
-26.8182,1,0.672989,2,3,0,27.2237,-0.849706,-0.399541,1.46365,-4.78998,-0.357059,0.258449
-26.8654,0.987414,0.672989,1,3,0,26.9297,-0.791044,-0.442977,-0.531419,1.98831,0.42914,-2.32125
-27.0712,0.927089,0.672989,1,3,0,27.5881,-0.902793,-0.317658,-0.830468,6.36734,-1.35792,4.82292
-27.5626,0.817135,0.672989,1,3,0,29.2279,-0.375132,-0.378493,4.86214,-3.47641,3.61608,-1.19588
-27.3641,0.91446,0.672989,2,3,0,28.9612,-0.564068,-0.262498,-4.8353,-2.76913,1.41768,6.10648
-27.4081,0.999235,0.672989,2,3,0,27.5378,-0.464051,-0.292523,0.31595,-3.25254,2.4853,3.97681
-27.2052,0.886201,0.672989,3,7,0,28.6449,-1.14432,-0.460167,4.24811,-4.86581,-2.18335,-0.26919
-27.1326,0.971599,0.672989,3,7,0,28.2265,-1.03177,-0.356799,3.33296,5.69217,-2.15959,3.72607
-27.1291,0.996404,0.672989,2,7,0,27.446,-1.10743,-0.43548,-0.157725,-5.20139,-2.12167,0.549085
-26.9057,1,0.672989,3,7,0,27.2697,-0.768285,-0.453365,1.29687,4.68288,0.684784,-2.99065
-27.5018,0.818836,0.672989,1,3,0,28.596,-1.00254,-0.278578,1.87445,-8.62889,-2.44952,7.47512
-27.7405,0.97683,0.672989,2,7,0,28.8066,-1.27729,-0.389672,-1.8858,-8.47429,-3.80254,4.13393
-29.4838,0.795617,0.672989,2,3,0,30.4928,-1.30156,-0.199538,3.79729,-2.60537,-5.2923,13.0323
-26.8831,1,0.672989,3,7,0,29.1484,-0.945769,-0.428685,-3.9102,10.4777,-0.916273,-0.463905
-26.9097,0.998999,0.672989,3,7,0,26.9358,-0.96822,-0.437032,0.634139,0.0941762,-1.02735,-0.688499
-26.8757,0.969573,0.672989,2,3,0,27.2023,-0.913319,-0.383391,-2.1535,1.53843,-0.996714,1.52751
-27.0267,0.884586,0.672989,3,7,0,27.9506,-1.00718,-0.374587,2.82797,-5.91815,-1.82731,2.66248
-27.1369,0.985146,0.672989,3,7,0,27.5047,-0.832395,-0.290281,1.02558,5.07334,-0.91239,5.84935
-26.8406,1,0.672989,2,3,0,27.1474,-0.847363,-0.373673,-0.494571,4.99748,-0.517439,1.55643
-26.9699,0.987199,0.672989,2,3,0,26.9987,-0.947448,-0.359942,-0.666142,-0.11868,-1.44694,2.95459
-28.9153,0.856765,0.672989,3,7,0,29.5205,-1.57281,-0.672763,-1.65615,6.06285,-2.92494,-4.7784
-29.1332,0.968632,0.672989,2,3,0,29.5798,-1.34079,-0.753379,-2.00804,-4.00183,-0.552062,-10.4999
-27.856,0.977783,0.672989,2,3,0,29.6645,-1.31774,-0.582356,-1.01596,-12.2265,-2.23014,-3.9292
-28.5659,0.879475,0.672989,2,3,0,29.563,-1.19786,-0.703465,-0.299757,-9.22372,-0.179767,-10.0827
-28.3962,1,0.672989,1,1,0,28.6493,-1.14195,-0.687034,0.639551,4.41158,0.0134035,-9.99709
-28.5209,0.967489,0.672989,2,7,0,29.3484,-1.48535,-0.641056,3.04169,-4.45088,-2.71746,-4.51542
-28.0612,0.999979,0.672989,2,3,0,28.6232,-1.41197,-0.569015,1.86072,5.39105,-3.01762,-2.3709
-31.3003,0.866156,0.672989,2,3,0,31.5552,-1.71953,-0.918003,0.277736,-4.63129,-0.927693,-12.1553
-30.4051,0.850753,0.672989,2,7,0,34.0305,-0.826169,-0.800925,-3.46899,-15.6373,2.84464,-16.7857
-31.1232,0.956939,0.672989,2,7,0,31.9922,-1.52672,-0.181362,2.71948,5.80031,-6.97997,14.8882
-29.8331,1,0.672989,1,1,0,31.1172,-1.46346,-0.246564,-2.81729,8.14104,-6.20665,11.8393
-28.3397,1,0.672989,2,3,0,30.3233,-0.859747,-0.660865,-4.6443,7.1313,1.59637,-11.4724
-26.9338,0.965951,0.672989,2,3,0,28.9954,-0.944775,-0.466197,-0.775012,13.1757,-0.607885,-2.2702
-26.9388,0.958858,0.672989,2,3,0,27.3256,-0.781153,-0.466219,0.335861,-5.70691,0.673115,-3.52464
