# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.145,0.920337,0.86609,2,3,0,31.0563,-0.742164,-4.34728,-0.92738
-30.1348,1,0.86609,1,1,0,30.1465,-0.730463,0.492052,-0.812776
-30.2728,0.904066,0.86609,2,3,0,30.9611,-0.83506,-3.7779,-1.82026
-30.1038,0.995056,0.86609,1,3,0,30.3098,-0.670163,2.06718,-0.214967
-30.1159,0.995612,0.86609,1,3,0,30.1369,-0.595444,-0.659899,0.54174
-30.4549,0.905233,0.86609,1,3,0,30.8159,-0.917582,2.73623,-2.58698
-30.1615,0.996933,0.86609,2,3,0,30.4939,-0.758534,2.62548,-1.08692
-30.1327,1,0.86609,1,1,0,30.1569,-0.727838,-0.708287,-0.786998
-30.3385,0.9346,0.86609,1,3,0,30.6524,-0.434092,-2.55129,2.22913
-32.1459,0.81016,0.86609,2,7,0,32.2283,-1.31219,-1.30739,-5.87666
-32.2297,0.988724,0.86609,1,1,0,32.5124,-1.32632,-2.42151,-5.98239
-30.2989,0.79474,0.86609,1,3,0,34.7241,-0.452657,-9.57936,2.03167
-32.5886,0.748091,0.86609,2,3,0,33.2393,0.0354144,-3.67334,7.39518
-33.5898,0.817414,0.86609,1,1,0,33.8486,0.159243,-2.31688,8.77346
-32.847,1,0.86609,1,1,0,33.7983,0.0694812,4.44156,7.7751
-32.4286,1,0.86609,1,1,0,33.1131,0.013419,3.76732,7.14975
-31.0134,0.987569,0.86609,2,7,0,32.5388,-1.08512,5.62425,-4.0619
-30.8914,1,0.86609,1,1,0,31.0874,-1.05408,2.01588,-3.79721
-30.7837,1,0.86609,1,1,0,30.9552,-1.02474,1.88568,-3.54336
-31.438,0.904458,0.86609,1,1,0,31.4408,-1.18036,-0.237052,-4.84938
-32.678,0.840462,0.86609,1,1,0,32.6801,-1.39809,0.210965,-6.50644
-32.649,1,0.86609,3,7,0,32.6845,-1.39362,-0.858764,-6.47447
-30.4508,0.992375,0.86609,2,7,0,32.3916,-0.388658,-6.34401,2.71559
-30.7216,0.948385,0.86609,1,1,0,30.7365,-0.303404,-0.555382,3.63938
-30.1417,0.998632,0.86609,2,3,0,30.7429,-0.559824,3.53108,0.908306
-30.1015,0.985347,0.86609,2,3,0,30.2681,-0.649433,-1.8592,-0.00675025
-30.1018,0.99984,0.86609,2,3,0,30.1027,-0.640097,-0.136635,0.08747
-30.1348,0.991742,0.86609,1,3,0,30.1605,-0.730445,0.72972,-0.812597
-30.1407,0.999767,0.86609,2,7,0,30.141,-0.560868,0.0711465,0.89751
-30.1022,0.999071,0.86609,1,3,0,30.1468,-0.636887,-0.962,0.119922
-30.1291,0.99511,0.86609,1,3,0,30.1374,-0.574975,-0.415557,0.751945
-30.1375,0.998428,0.86609,1,1,0,30.1405,-0.564509,-0.247074,0.859886
-30.151,0.994666,0.86609,2,3,0,30.1993,-0.550085,1.00017,1.00916
-30.1975,0.963877,0.86609,1,3,0,30.4422,-0.787832,-2.25289,-1.37014
-30.1021,0.996974,0.86609,1,3,0,30.2227,-0.659662,-1.58189,-0.109663
-30.8642,0.848186,0.86609,1,3,0,31.286,-0.26629,2.95746,4.04539
-30.3273,0.99869,0.86609,2,7,0,30.8416,-0.86295,-3.26578,-2.08225
-30.4542,0.900296,0.86609,1,3,0,31.4355,-0.387429,4.51106,2.72881
-30.5602,0.996285,0.86609,2,7,0,30.5602,-0.955747,-0.0211658,-2.93277
-30.3072,1,0.86609,1,1,0,30.518,-0.853068,2.09088,-1.98975
-30.2847,0.925122,0.86609,2,7,0,31.0035,-0.459825,3.86088,1.95563
-30.3178,0.993654,0.86609,1,1,0,30.3433,-0.443586,-0.727132,2.12805
-30.2951,0.918552,0.86609,1,3,0,31.0636,-0.846922,-3.99193,-1.93204
-30.324,0.998764,0.86609,2,7,0,30.3264,-0.440681,-0.222633,2.15895
-30.1429,0.962926,0.86609,1,3,0,30.6335,-0.739836,3.18963,-0.90461
-30.1593,0.997103,0.86609,1,1,0,30.1626,-0.756507,0.262572,-1.06721
-30.7081,0.939066,0.86609,2,3,0,30.805,-1.0028,1.41744,-3.35126
-31.3588,0.904016,0.86609,1,1,0,31.3594,-1.16378,0.114664,-4.71504
-30.4426,0.991763,0.86609,2,7,0,31.3345,-0.391708,-4.30074,2.68279
-30.3621,1,0.86609,1,1,0,30.4562,-0.423776,-1.39687,2.33919
-30.4441,0.862345,0.86609,1,3,0,31.5357,-0.913396,4.75784,-2.5487
-30.1384,0.957584,0.86609,1,3,0,30.8393,-0.563456,3.81226,0.870771
-30.4502,0.66877,0.86609,2,3,0,33.6668,-0.388891,-8.16723,2.71309
-30.2862,1,0.86609,1,1,0,30.424,-0.459042,-1.6903,1.96393
-30.1267,0.974764,0.86609,2,7,0,30.509,-0.719851,-2.81551,-0.70844
-30.1476,0.959263,0.86609,2,3,0,30.477,-0.744953,2.61367,-0.954629
-30.1167,0.991026,0.86609,1,3,0,30.2352,-0.593841,1.56735,0.558162
-30.2873,0.980969,0.86609,2,7,0,30.2893,-0.842848,0.205428,-1.8937
-30.2594,1,0.86609,1,1,0,30.3021,-0.827519,-0.940871,-1.74893
-30.1767,1,0.86609,1,1,0,30.2454,-0.771741,-1.19389,-1.21496
-30.2485,0.995866,0.86609,2,3,0,30.2494,-0.821181,0.139455,-1.68881
-30.1263,0.981007,0.86609,1,3,0,30.4504,-0.578864,2.59262,0.711915
-30.1015,0.999143,0.86609,1,3,0,30.1343,-0.647268,0.825427,0.0150805
-30.1326,0.992968,0.86609,1,3,0,30.1513,-0.727691,-0.622613,-0.785557
-30.1317,1,0.86609,1,1,0,30.1376,-0.72653,0.349137,-0.774153
-30.2509,0.98392,0.86609,2,3,0,30.2976,-0.822613,-0.983529,-1.70241
-30.3517,0.918946,0.86609,1,3,0,31.0222,-0.428255,3.72883,2.29137
-30.3115,0.911119,0.86609,1,3,0,31.1791,-0.855264,4.24142,-2.01033
-30.2662,1,0.86609,1,1,0,30.3203,-0.831366,1.05923,-1.78534
-30.1066,0.986133,0.86609,1,3,0,30.3909,-0.61686,2.42805,0.323126
-30.9184,0.811988,0.86609,1,3,0,31.5601,-1.06112,-3.64801,-3.85758
-30.3911,0.983639,0.86609,2,3,0,31.1583,-0.891754,3.98858,-2.34977
-30.1164,0.994049,0.86609,1,3,0,30.4159,-0.703285,-2.49221,-0.544816
-30.108,1,0.86609,1,1,0,30.1149,-0.68481,-0.377625,-0.361266
-30.6448,0.818915,0.86609,2,3,0,31.6602,-0.983426,-4.58857,-3.17999
-31.0817,0.933583,0.86609,1,1,0,31.0895,-1.10164,0.40409,-4.20123
-30.344,0.858296,0.86609,1,3,0,32.7369,-0.431652,7.04428,2.25514
-30.1138,0.947204,0.86609,2,3,0,30.8471,-0.698344,-3.89949,-0.495842
-30.4341,0.944753,0.86609,1,3,0,30.534,-0.909455,-1.43926,-2.51261
-31.1505,0.669098,0.86609,2,3,0,34.0473,-1.11777,7.75053,-4.33614
-30.8477,1,0.86609,1,1,0,31.1498,-1.04241,2.50302,-3.69661
-30.8474,1,0.86609,2,3,0,30.9711,-1.04234,1.60138,-3.69601
-30.1129,0.949396,0.86609,1,3,0,31.3531,-0.601278,-5.07144,0.482056
-30.6419,0.90799,0.86609,1,3,0,30.8026,-0.326071,1.82557,3.39249
-30.3309,1,0.86609,1,1,0,30.5824,-0.437517,-2.2837,2.19264
-30.2703,0.981702,0.86609,2,3,0,30.5555,-0.467306,2.43187,1.87641
-30.271,0.99996,0.86609,2,3,0,30.3026,-0.466969,-0.810077,1.87998
-30.137,0.976213,0.86609,1,3,0,30.5212,-0.733097,-2.82283,-0.838618
-30.1289,0.988068,0.86609,1,3,0,30.247,-0.575293,-1.56496,0.748671
-30.6064,0.943103,0.86609,2,3,0,30.7015,-0.33672,-1.40411,3.2768
-31.144,0.899146,0.86609,1,1,0,31.1537,-0.202644,0.45016,4.74609
-30.1077,1,0.86609,2,3,0,30.9745,-0.68408,-4.23973,-0.353997
-30.1049,0.993767,0.86609,2,3,0,30.1605,-0.674853,1.07364,-0.26189
-30.1417,0.9961,0.86609,2,7,0,30.142,-0.559784,-0.0766943,0.908721
